tweet_id,user_community,user_active_status,retweet_count_metadata,quote_count_metadata,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users,date
1330606002299920387,1,active,11109,909,17,23,991,86,5840,557,48,8,60,4,2113,151,2020_11
1330636600871673860,1,active,4246,1175,4,5,67,58,3470,975,5,2,16,3,1291,306,2020_11
1330671677211029506,1,suspended,55817,8308,136,350,5612,949,33151,5700,382,99,550,77,11339,1854,2020_11
1330675319074922498,1,active,7258,596,4,1,272,51,4740,414,37,7,59,6,1796,149,2020_11
1330699355544842240,1,deleted,2716,254,1,1,56,10,2171,203,11,1,10,1,1038,84,2020_11
1330703344449490945,2,active,3315,372,1,2,16,37,2957,298,4,2,14,1,1286,106,2020_11
1330704664669536256,1,active,1383,124,1,1,90,10,984,152,8,1,8,1,299,46,2020_11
1330786115830247425,2,suspended,6008,1573,3,8,110,193,4648,1894,112,46,38,9,1637,398,2020_11
1330868552522403843,1,active,628,164,4,6,80,17,474,112,1,1,2,2,56,14,2020_11
1330904543299715072,1,active,524,35,1,1,37,6,329,19,5,1,7,1,142,7,2020_11
1330998693647048706,1,active,2176,174,3,9,114,23,1512,122,6,1,18,1,545,29,2020_11
1331002868552200192,1,active,1453,110,6,4,87,15,891,74,14,3,13,2,353,25,2020_11
1331012129214914561,1,active,6329,292,9,16,266,30,4292,190,36,3,80,5,1671,50,2020_11
1331013512605405184,0,active,3410,1616,3135,817,19,49,101,392,1,1,1,2,65,118,2020_11
1331040841981419521,1,active,5864,528,6,45,284,33,4674,347,3,2,16,2,1816,134,2020_11
1331069628806815744,1,suspended,28095,3352,30,28,2012,401,19130,2613,236,20,141,16,6903,835,2020_11
1331106876126322688,1,active,3917,215,1,1,90,8,2935,182,4,1,13,1,1105,57,2020_11
1331110531084726272,1,suspended,18406,1336,19,8,1031,144,12471,981,86,13,66,7,4850,315,2020_11
1331116744392380418,1,suspended,5786,940,7,6,208,59,4732,788,12,5,17,7,1657,263,2020_11
1331190066828505088,1,active,6614,658,4,4,244,39,5044,503,4,1,10,1,1861,124,2020_11
1331214247955738624,1,suspended,44950,7802,124,1027,6597,761,24690,3841,896,119,643,43,8401,1223,2020_11
1331253662312656897,1,active,2585,189,3,4,183,22,1599,116,15,1,32,1,594,31,2020_11
1331259666181935105,1,deleted,7896,484,3,3,446,52,5263,334,39,4,32,1,2257,110,2020_11
1331311027426824194,1,suspended,13883,1282,10,11,620,110,9202,917,56,12,61,9,3551,314,2020_11
1331313103892598784,1,suspended,11850,1191,10,13,483,101,7533,817,93,19,98,11,2842,305,2020_11
1331323087023902721,1,active,767,110,1,2,95,14,391,64,32,2,3,1,114,13,2020_11
1331353498101948417,2,active,9903,1156,14,12,122,127,6927,812,67,8,89,16,2591,239,2020_11
1331356341324173314,1,suspended,10000,444,4,3,314,43,6911,322,60,3,62,1,2998,137,2020_11
1331366325629968386,1,active,26362,2975,36,98,2655,370,15202,1862,233,37,278,28,5325,548,2020_11
1331372171394912258,1,suspended,11827,1288,5,4,544,146,8508,1109,39,5,50,5,3505,398,2020_11
1331372429034315777,1,active,4531,238,6,2,203,27,3024,154,9,1,16,3,1099,36,2020_11
1331373180997529603,1,active,15124,1004,20,30,1489,117,8861,701,84,9,112,9,3205,185,2020_11
1331391668814286848,1,active,2903,352,3,2,179,42,2003,256,9,2,7,3,533,55,2020_11
1331410241519570948,1,active,1799,372,3,1,134,71,1186,228,18,31,14,2,330,44,2020_11
1331427949342568448,1,active,37406,3404,85,136,4442,427,19838,1806,442,59,393,30,6114,498,2020_11
1331438263530364932,1,suspended,10619,890,6,2,423,72,7111,649,53,11,34,3,2932,214,2020_11
1331448417449635841,1,suspended,10626,676,7,3,398,74,6796,466,52,7,31,1,2574,141,2020_11
1331509957011836928,1,active,7010,915,5,1,554,116,4719,614,16,3,32,5,1607,147,2020_11
1331587644883656709,1,active,2839,162,3,2,79,10,2127,116,8,5,17,1,910,44,2020_11
1331626710685650945,1,suspended,11005,866,7,2,368,92,7500,658,57,3,33,1,2931,208,2020_11
1331651122998767616,1,suspended,3444,218,4,2,61,17,2263,147,20,2,14,1,1075,60,2020_11
1331662421098967041,1,active,1197,209,5,2,66,17,482,87,12,5,39,10,143,15,2020_11
1331669907478634499,1,active,6947,1008,3,6,380,77,3452,590,94,29,20,5,1196,156,2020_11
1331684437705302018,1,suspended,49181,6628,87,409,5658,482,13275,1789,803,80,724,48,4193,536,2020_11
1331687739767590920,1,active,21770,1349,17,15,1839,139,8112,532,21,3,82,3,2293,124,2020_11
1331691376459849733,1,suspended,9598,799,17,34,673,68,3682,349,139,9,169,14,1295,97,2020_11
1331715446194774021,1,active,12322,1828,82,594,1135,72,5073,368,53,8,160,9,1776,107,2020_11
1331721781854531584,1,active,21086,2095,20,12,2950,285,8639,883,98,22,182,15,2324,172,2020_11
1331728985055776768,1,active,26335,2933,29,39,1772,238,13139,1535,64,11,214,19,4163,511,2020_11
1331738482910302208,1,active,7924,913,2,1,231,50,3496,442,4,2,15,2,1281,132,2020_11
1331738816856666114,1,suspended,52821,4724,87,206,5914,412,15836,1522,607,46,588,28,5050,433,2020_11
1331740231687692298,1,suspended,7298,564,4,13,478,54,3042,276,66,3,59,9,1081,66,2020_11
1331745975577108483,1,active,8094,666,3,9,190,45,4334,335,18,10,49,9,1560,106,2020_11
1331756986707415040,1,active,27931,6411,62,28,2507,720,11340,2615,47,9,113,28,3201,630,2020_11
1331757743124918272,1,active,13362,1818,4,3,614,127,6798,885,12,4,36,7,2089,219,2020_11
1331758820087926784,1,suspended,1017,48,4,6,76,3,343,13,16,2,8,1,148,4,2020_11
1331794807501492225,1,active,20070,1217,44,79,2434,166,12181,724,179,15,285,9,4428,202,2020_11
1331798247099297794,1,active,8003,655,5,2,376,48,5806,504,17,1,16,1,2117,153,2020_11
1331802542964154368,1,suspended,15325,1643,13,10,834,166,10363,1160,128,22,122,19,3935,368,2020_11
1331826848381218816,1,active,10396,988,9,9,620,114,6274,671,147,31,193,13,2184,178,2020_11
1331842123096760320,1,active,8604,742,3,4,259,67,6976,620,34,9,23,2,2383,186,2020_11
1331848912106295296,2,suspended,5485,608,3,1,76,64,4121,474,71,20,24,3,1636,145,2020_11
1331849802561187844,1,active,1987,204,9,8,228,31,1010,112,18,4,25,3,349,20,2020_11
1331885418854424576,1,active,7680,933,8,1,424,102,5010,669,31,2,49,7,2004,227,2020_11
1331932033220751365,1,active,6853,625,8,7,496,81,4296,431,26,3,98,10,1492,106,2020_11
1331950050273062912,1,active,676,52,1,1,45,5,461,44,3,1,2,1,146,9,2020_11
1331983801581522953,1,active,8202,1021,9,5,422,80,5497,753,66,16,30,6,1759,178,2020_11
1331984934253125632,1,active,13156,1025,16,38,1014,71,5526,458,72,7,73,1,2101,134,2020_11
1331985876583321601,1,suspended,2681,569,2,2,53,23,2024,455,6,4,14,3,1011,170,2020_11
1331989057015078913,1,suspended,2038,364,1,2,135,25,947,233,366,25,61,4,326,54,2020_11
1332002206208249856,1,active,17497,1284,17,29,1240,88,7145,568,87,9,116,3,2524,158,2020_11
1332006376323747840,1,active,2109,306,1,2,181,36,1163,163,8,1,14,1,466,60,2020_11
1332012711056723968,1,active,15263,1906,7,11,1951,270,9106,1121,38,2,84,7,2795,294,2020_11
1332026165679120384,1,suspended,6989,737,5,4,215,54,5384,566,14,2,11,1,2513,219,2020_11
1332030615969886208,1,suspended,3876,133,1,2,72,8,3083,105,9,1,5,1,1550,36,2020_11
1332038595767578628,1,active,7274,882,5,2,518,84,4855,627,9,2,72,4,1756,162,2020_11
1332050389525532673,1,active,3982,365,8,2,238,52,2725,242,12,1,29,3,891,65,2020_11
1332054180949872640,1,active,7050,359,4,7,491,39,4707,256,7,3,35,1,1718,55,2020_11
1332106723264405504,1,suspended,15328,1215,11,6,664,91,11334,979,36,10,36,7,4821,403,2020_11
1332109457241862148,1,suspended,2072,271,3,6,58,19,1691,195,5,5,14,1,835,99,2020_11
1332122983893110784,1,suspended,33350,3498,30,28,2411,333,22548,2693,136,23,143,18,8013,981,2020_11
1332169019143704579,1,active,13692,2247,8,10,1002,339,8048,1985,102,25,87,27,2948,471,2020_11
1332172227807113218,1,active,20243,2201,29,12,1861,232,10923,1222,16,2,63,3,3000,272,2020_11
1332205752036024323,1,suspended,5507,374,6,1,148,25,3442,262,16,2,18,3,1507,98,2020_11
1332218917536854017,1,active,3684,212,8,7,142,21,1986,126,64,5,25,1,824,47,2020_11
1332270519199150082,1,deleted,9839,705,8,2,282,58,5333,410,58,6,48,2,2358,162,2020_11
1332317394165968899,1,suspended,73664,9768,141,318,11602,1109,25945,3525,1599,150,1165,140,7722,936,2020_11
1332352538855747584,1,suspended,91902,27139,267,3891,13600,1653,26685,5535,1347,163,1269,191,7702,1588,2020_11
1332357012856967168,1,active,3587,663,3,1,89,41,2098,467,6,1,19,2,684,148,2020_11
1332364049955303424,2,active,6231,575,2,8,34,28,3887,374,34,6,18,1,1283,104,2020_11
1332364667478564866,2,suspended,2366,436,2,4,18,32,1718,320,4,2,23,1,703,140,2020_11
1332371832759066632,1,active,6727,1320,12,5,600,115,2789,580,225,24,228,28,790,135,2020_11
1332384662501683205,1,active,3576,225,1,1,70,8,2099,150,9,1,3,1,732,34,2020_11
1332405012048334849,1,active,7174,727,1,3,121,37,4171,417,7,1,14,2,1322,130,2020_11
1332406761123241984,1,active,1498,268,5,2,57,16,431,95,3,1,4,1,190,26,2020_11
1332408216253296640,1,active,3968,287,1,7,110,18,1829,166,11,3,15,2,776,51,2020_11
1332409493016047616,1,suspended,11609,1163,15,5,1680,123,6858,631,16,2,14,1,1829,161,2020_11
1332428675392868358,1,active,29366,4281,39,54,2648,560,16404,2609,300,43,458,82,5352,777,2020_11
1332430622892109828,2,suspended,2542,435,1,3,20,20,2113,382,12,2,9,1,736,139,2020_11
1332468201100283907,1,active,2720,279,3,1,101,28,1998,248,22,4,8,2,597,73,2020_11
1332502221628399616,1,suspended,14678,2095,15,1,810,199,11085,1641,28,7,54,9,4248,611,2020_11
1332555800301236224,1,active,8655,883,7,7,615,70,5888,633,23,2,93,6,2006,185,2020_11
1332681463729418245,1,active,1610,104,2,3,124,7,1054,68,9,1,9,2,350,19,2020_11
1332698249707175943,1,active,703,76,3,1,66,11,449,40,5,1,4,1,122,7,2020_11
1332705754156032003,1,active,16874,1701,26,22,927,174,11404,1158,34,6,45,4,3766,310,2020_11
1332746497922899975,1,active,4492,386,3,2,225,35,3229,289,2,1,4,1,1182,82,2020_11
1332774405857030148,1,active,861,318,5,8,139,41,401,127,31,11,6,1,96,36,2020_11
1332796096519823362,1,suspended,20334,2031,29,25,1037,158,13414,1462,133,9,52,3,4788,439,2020_11
1332797669832581122,1,active,6752,355,7,21,328,33,3990,227,85,2,128,7,1540,54,2020_11
1332807813098336262,1,suspended,16332,1030,13,3,664,105,10285,700,138,9,80,7,4039,232,2020_11
1332832794750357504,1,active,2399,253,2,1,72,22,1824,200,5,4,8,2,719,59,2020_11
1332838620756000769,1,active,10540,1111,30,257,1378,74,5865,465,19,1,106,8,2206,131,2020_11
1332839514423889920,1,suspended,2391,214,8,23,285,24,1232,95,42,3,65,5,507,30,2020_11
1332859906865631232,1,suspended,24807,3394,19,6,1790,356,16621,2641,300,23,127,9,6141,895,2020_11
1332870927890132992,1,suspended,4064,459,2,1,61,15,3171,379,5,1,23,2,1431,134,2020_11
1332871796090155009,1,suspended,11635,1495,11,10,607,117,8059,1064,34,5,149,15,3291,365,2020_11
1332895810313392130,1,active,7633,343,1,25,376,24,4817,214,54,2,94,1,1926,69,2020_11
1332956647921053697,1,suspended,13999,1266,10,6,506,135,9117,901,171,8,73,3,3797,326,2020_11
1333047706000916486,1,suspended,13697,1043,9,2,614,93,8947,746,36,2,43,1,3819,245,2020_11
1333053408392196100,1,suspended,18388,2338,11,9,927,224,11137,1517,108,10,94,20,4348,546,2020_11
1333060349843615745,1,suspended,8614,973,2,11,311,81,5568,631,26,3,119,17,2588,246,2020_11
1333068963366973443,1,suspended,3756,327,4,20,398,38,1820,143,54,5,55,3,756,37,2020_11
1333069166614601728,1,suspended,11470,882,6,2,362,69,7303,669,37,6,28,1,2918,226,2020_11
1333069486484840450,1,active,1461,160,3,2,58,13,907,100,1,1,5,1,320,22,2020_11
1333070486532722688,1,suspended,21062,2925,22,86,1063,242,12931,2087,75,6,56,7,4617,650,2020_11
1333071842530234375,1,suspended,9164,803,5,16,299,73,6001,566,96,20,38,5,2471,193,2020_11
1333104902306979841,1,suspended,2597,141,9,3,60,13,1592,96,10,1,10,1,699,39,2020_11
1333117984940978177,2,suspended,5393,512,7,4,31,33,3854,369,42,3,67,9,1525,108,2020_11
1333118419500056576,1,suspended,4789,396,1,2,117,33,3200,264,4,1,12,2,1366,89,2020_11
1333121054210977794,1,active,3131,302,3,1,56,22,1810,167,10,1,12,2,828,67,2020_11
1333136666496692224,1,active,1244,170,2,2,113,20,550,75,9,2,10,1,254,22,2020_11
1333145604407627776,1,active,5114,352,5,17,300,33,3399,242,12,2,25,1,1313,89,2020_11
1333151972032204806,1,active,1496,147,1,1,52,10,1073,117,6,1,24,2,361,38,2020_11
1333221398764941312,1,active,3324,481,6,4,254,39,2053,370,8,1,21,3,714,71,2020_11
1333233152081469440,1,active,13723,979,11,5,652,88,8844,782,16,4,35,1,3201,207,2020_11
1333243285389914112,1,suspended,60627,8576,160,832,9441,862,26084,3433,1079,66,961,54,8111,969,2020_11
1333284816935129088,1,suspended,11356,723,3,8,335,63,7475,541,114,14,64,4,3098,177,2020_11
1333287444456812544,1,suspended,20395,2220,22,12,1501,223,13018,1458,212,25,115,11,5177,518,2020_11
1333296189568114689,1,suspended,16339,967,5,6,698,87,10548,646,170,14,108,7,4425,245,2020_11
1333296224896774145,1,suspended,4846,247,1,3,131,16,3273,195,31,1,20,1,1394,59,2020_11
1333367399551102978,1,active,2806,108,2,9,141,6,1708,64,16,3,26,1,819,23,2020_11
1333387866320363521,1,suspended,5162,475,3,2,179,32,3581,337,14,1,24,1,1186,100,2020_11
1333406292191297536,1,active,11911,897,17,13,1461,114,6219,497,14,1,42,3,1908,118,2020_11
1333408374764015619,1,suspended,17331,2318,9,7,980,231,10710,1589,211,47,80,19,4313,634,2020_11
1333426106309939208,1,active,3737,527,3,8,189,32,1368,219,377,28,37,3,490,69,2020_11
1333430836859953157,1,suspended,5513,334,4,14,330,36,2891,167,49,2,80,4,1246,37,2020_11
1333433520832786434,1,suspended,4753,189,2,1,87,10,2946,128,41,3,31,1,1324,50,2020_11
1333461216057036800,1,active,7272,358,1,1,436,37,3600,186,10,1,14,1,1226,55,2020_11
1333463037601169408,1,active,21244,1940,93,226,2933,217,9787,936,202,27,295,33,3573,275,2020_11
1333475577337180168,1,active,8451,643,9,2,1205,62,3634,301,16,3,8,1,955,59,2020_11
1333481365749329920,1,active,2503,257,1,5,167,32,1170,113,24,2,21,2,372,30,2020_11
1333508952957575169,1,active,264,92,15,27,33,5,106,28,2,2,14,1,40,7,2020_11
1333530175770857475,1,active,14841,2059,12,39,1105,200,7082,1123,102,24,119,16,2042,265,2020_11
1333551286348902403,1,suspended,9095,764,4,2,256,49,4121,404,30,6,21,6,1626,148,2020_11
1333552932961345543,2,suspended,3552,223,2,2,6,9,2262,122,8,3,5,1,862,44,2020_11
1333556242984431616,1,suspended,25653,3721,135,385,1984,215,11417,1515,461,36,285,11,4268,484,2020_11
1333562182232104965,1,active,21402,1654,26,28,1752,115,8971,760,71,8,145,6,3336,229,2020_12
1333566240649080837,1,suspended,3549,290,5,8,239,26,1547,148,42,5,50,1,678,45,2020_12
1333594453429407746,1,suspended,8341,629,1,1,133,35,4109,311,66,4,25,1,1958,122,2020_12
1333604134897864705,1,active,22751,2404,47,168,2201,174,8521,960,38,4,133,7,2588,222,2020_12
1333610260381175813,1,suspended,24058,1773,35,112,1966,99,8404,550,480,35,295,15,3277,182,2020_12
1333611986219839490,1,active,11647,740,15,4,1412,73,3942,206,13,1,12,1,1119,50,2020_12
1333658872981172224,1,suspended,11957,589,5,4,370,56,7183,353,123,15,57,5,2703,133,2020_12
1333665097043107842,1,suspended,21605,2231,16,5,1073,182,12256,1358,243,23,106,9,4749,565,2020_12
1333676080469782528,1,suspended,8519,884,9,2,286,64,4733,535,77,13,33,2,1948,163,2020_12
1333677245781651457,1,active,3254,1189,1,3,268,132,2064,781,3,1,55,23,1129,358,2020_12
1333677317760163840,1,suspended,8995,639,6,1,304,44,4736,380,37,6,42,4,1972,127,2020_12
1333754443637137408,1,active,873,130,6,17,74,15,356,53,2,1,3,1,97,15,2020_12
1333774107624685569,1,active,19109,1194,6,13,719,87,6410,452,141,21,174,10,2258,135,2020_12
1333775231991697409,1,active,16501,1126,10,28,720,76,5626,431,150,10,198,9,1891,109,2020_12
1333789500598697987,1,active,18290,1450,62,68,1608,113,7542,718,141,13,155,10,2838,191,2020_12
1333792169174331393,1,active,18672,1196,10,76,765,80,7477,473,151,16,208,9,2612,142,2020_12
1333809670528655360,2,active,8737,642,3,6,59,46,3921,333,83,2,57,9,1448,90,2020_12
1333853728944889858,0,active,14762,12848,4812,2268,7,96,141,579,1,1,9,13,86,190,2020_12
1333857049294344194,1,suspended,37951,3772,78,216,3210,124,6283,392,538,31,483,11,2116,113,2020_12
1333863535538032650,1,active,18666,3161,42,134,733,153,4665,837,110,14,93,9,1525,241,2020_12
1333865474061258753,1,active,6820,478,9,8,255,33,2473,186,48,7,53,3,894,43,2020_12
1333865675266330627,1,active,336,354,50,46,41,19,12,41,3,2,3,2,6,13,2020_12
1333868955652345856,1,active,1230,209,4,3,44,11,248,49,38,3,9,4,85,10,2020_12
1333875690937196545,1,suspended,3927,801,3,3,534,80,843,208,533,19,77,6,229,48,2020_12
1333877883459284994,1,suspended,332,62,1,1,6,4,126,24,3,1,2,1,85,15,2020_12
1333898169026048000,1,active,15202,1421,14,15,1044,119,5574,589,10,2,32,2,1768,150,2020_12
1333903886839582739,1,suspended,2511,565,1,6,54,35,1569,378,6,3,9,1,612,153,2020_12
1333916688614649857,1,active,3135,508,1,1,209,32,1045,166,7,2,7,2,325,50,2020_12
1333919572693561350,1,active,21833,1478,14,53,1116,101,8872,670,119,8,186,10,3031,160,2020_12
1333921563763044352,1,active,14608,1195,25,26,1303,103,6170,518,12,1,73,4,1851,115,2020_12
1333937356185997312,1,active,28293,4465,61,72,2385,463,12138,2689,207,95,286,80,4223,755,2020_12
1333940136351059968,1,active,7423,888,13,5,345,83,3539,516,10,1,13,2,1438,150,2020_12
1333950643913060352,1,deleted,7402,763,6,13,623,58,3720,403,65,2,25,2,1295,93,2020_12
1333954336699846657,1,active,5632,456,9,20,231,37,2694,200,60,10,48,1,1095,58,2020_12
1333975991518187521,1,suspended,26761,3862,141,668,2380,199,10055,1078,379,27,308,11,3726,338,2020_12
1333980951735484416,2,active,2040,343,5,3,21,26,1599,301,2,1,9,3,484,77,2020_12
1334096847707762689,1,suspended,24921,3053,14,22,1822,346,14320,1896,200,40,150,15,5837,661,2020_12
1334107931810426887,1,active,156,21,1,1,5,3,88,8,1,1,6,1,41,2,2020_12
1334124797450719233,1,suspended,5079,417,3,1,207,40,2376,224,51,5,27,1,951,85,2020_12
1334146567448608770,1,active,24944,2678,30,20,4021,347,9325,1118,29,5,49,3,2431,226,2020_12
1334155285909409801,1,suspended,50477,5272,106,337,6971,489,19746,1947,973,72,874,47,6481,518,2020_12
1334161449778810880,1,active,6340,587,9,11,401,44,3522,353,12,1,14,1,1181,104,2020_12
1334185578313773057,1,suspended,27079,2619,11,46,1510,234,14551,1426,133,4,128,10,5996,559,2020_12
1334190420411244544,1,active,627,112,3,10,28,14,446,64,1,1,2,1,161,24,2020_12
1334200857714446339,1,active,1288,142,3,2,38,15,981,116,1,1,6,1,529,47,2020_12
1334238613907918854,1,active,1093,160,1,3,85,13,713,109,47,11,8,3,273,35,2020_12
1334252206787342348,1,suspended,4731,223,1,2,116,29,3214,160,33,3,25,4,1591,74,2020_12
1334257552490639367,1,active,3206,685,5,8,316,224,1452,338,604,102,33,12,531,134,2020_12
1334261315519606786,1,active,275,39,1,1,21,6,154,23,7,2,6,1,57,4,2020_12
1334261639332433921,1,suspended,19126,2260,11,12,1468,278,12012,1559,179,14,144,12,4545,457,2020_12
1334269870461120513,1,active,3109,193,3,1,76,12,2056,148,39,3,18,3,849,38,2020_12
1334269911837913088,0,active,359,265,48,61,4,21,205,114,5,2,6,1,56,40,2020_12
1334271141486145538,1,active,3367,465,8,11,253,54,2177,373,25,7,17,7,899,113,2020_12
1334273656697073667,1,active,866,306,23,67,211,43,348,75,11,2,21,1,102,19,2020_12
1334304796036239361,1,suspended,4453,283,8,8,376,37,2377,168,57,4,65,2,948,47,2020_12
1334317185737494528,1,active,4025,278,7,9,417,42,1908,138,60,4,52,2,744,35,2020_12
1334338695718121473,1,suspended,14283,1200,11,13,559,91,7665,694,73,4,49,3,2955,213,2020_12
1334350315194347520,1,suspended,5166,435,10,12,134,47,3616,318,82,7,20,3,1577,93,2020_12
1334355188296151042,1,active,1226,185,3,3,183,30,641,106,1,1,4,2,184,29,2020_12
1334476076509237252,1,active,4463,416,2,2,128,27,3370,330,2,1,6,1,1200,104,2020_12
1334507412469018627,1,suspended,2307,112,1,1,54,9,1491,73,39,3,10,1,723,26,2020_12
1334508055606697984,1,active,3354,246,5,5,219,22,2150,189,51,3,24,3,986,59,2020_12
1334545901063467008,1,active,2815,586,2,3,213,59,1547,352,12,6,40,5,492,76,2020_12
1334563729594314753,1,active,994,450,9,26,241,88,318,87,4,1,2,2,57,8,2020_12
1334568182154194949,1,active,4371,290,3,4,276,23,2046,161,12,2,21,2,727,51,2020_12
