"domain","tweet_count","retweet_count_metadata","quote_count_metadata","tweet_count_by_community_0","retweet_count_by_community_0","quote_count_by_community_0","tweet_count_by_community_1","retweet_count_by_community_1","quote_count_by_community_1","tweet_count_by_community_2","retweet_count_by_community_2","quote_count_by_community_2","tweet_count_by_community_3","retweet_count_by_community_3","quote_count_by_community_3","tweet_count_by_community_4","retweet_count_by_community_4","quote_count_by_community_4","tweet_count_by_suspended_users","retweet_count_by_suspended_users","quote_count_by_suspended_users"
nytimes.com,4357,20958,2124,2294,3746,385,95,1241,135,468,7008,655,6,67,8,1,87,6,148,2722,218
deadstate.org,142,3809,553,99,2409,352,0,0,2,5,31,11,0,0,0,0,0,0,3,46,16
washingtonpost.com,3378,18680,3487,2301,11220,1643,90,43,57,190,606,257,0,9,3,1,13,0,131,396,114
rawstory.com,5140,17409,3064,4437,9267,1688,4,3,7,115,174,33,0,0,0,0,0,0,167,194,44
cnn.com,2779,6650,2069,1568,4139,923,61,13,32,309,188,140,0,0,0,0,2,0,126,112,43
independent.co.uk,1918,9130,7676,1204,3882,796,22,16,35,124,256,104,0,8,6,0,6,1,64,138,46
news.yahoo.com,2841,4482,638,1344,2899,404,34,9,4,182,317,60,7,14,0,0,5,0,86,217,38
nypost.com,1923,30744,7665,129,558,622,218,1153,179,1131,8078,1094,4,79,7,10,160,25,287,2918,323
newsweek.com,1267,6939,2204,529,3496,908,58,25,28,260,589,145,2,12,5,1,3,0,112,221,53
foxnews.com,2303,55993,7770,245,683,452,245,3521,314,1097,12898,1377,6,360,39,16,553,42,278,4528,448
thehill.com,1167,3593,1966,579,1014,618,38,50,42,253,954,293,1,11,4,1,11,1,74,328,92
politicususa.com,1018,3271,586,771,2032,405,3,0,0,24,35,10,0,0,0,0,0,0,100,54,12
thedailybeast.com,1654,2317,392,1164,1291,232,9,5,2,230,85,17,5,37,1,0,1,0,76,58,12
msn.com,7432,3304,448,3350,1787,359,89,12,10,1072,680,132,1,12,0,19,3,0,340,275,46
theguardian.com,2573,3241,877,1574,2232,375,12,4,11,132,108,58,1,9,6,3,1,0,60,43,25
youtube.com,61682,69552,5856,3190,1004,192,7043,2804,698,34853,39842,4655,701,1121,113,435,264,15,9771,17117,1765
legislationline.org,151,19221,1973,0,24,92,30,2021,161,74,5628,509,0,25,2,0,119,8,26,1793,139
pscp.tv,2524,98079,7075,56,336,87,460,4415,602,1702,46752,4126,6,284,21,13,371,45,534,17797,1229
newsmax.com,2899,10071,1300,67,67,20,279,584,130,2044,5451,758,14,133,24,13,88,4,398,2080,202
thetexan.news,480,15766,1536,2,13,22,69,1442,115,275,5334,485,0,17,3,2,111,6,50,1740,158
breitbart.com,3609,18963,2332,58,23,20,571,592,141,2432,9758,1244,34,58,5,11,45,1,774,3770,348
dailycaller.com,478,8395,1787,39,81,31,66,397,142,292,2238,712,1,16,3,5,36,3,77,784,163
thegatewaypundit.com,13112,56973,5633,45,45,19,1202,754,258,10325,34337,3757,72,538,45,89,338,50,3378,14017,1260
facebook.com,3280,1114,84,135,16,2,426,29,13,1798,643,79,3,1,0,9,3,1,552,254,26
thefederalist.com,2486,33512,2732,13,38,21,315,1095,142,1796,12081,980,6,57,3,5,55,2,394,4266,268
davidharrisjr.com,439,34844,3154,4,38,17,100,2143,262,265,16461,1552,1,108,11,3,81,7,77,6085,405
theepochtimes.com,7479,22305,1418,29,15,15,910,617,125,5251,14330,1077,38,125,9,58,225,11,1234,6093,361
dailywire.com,495,4653,677,4,16,5,78,217,69,325,1142,188,4,169,15,2,6,0,82,357,57
nationalfile.com,2111,9218,790,7,5,8,189,176,54,1551,4961,1086,42,1262,47,3,16,7,415,1873,146
djhjmedia.com,565,23686,1920,2,26,8,106,1242,147,380,10312,956,5,218,6,5,44,6,81,4223,251
justthenews.com,2086,24442,2126,10,26,5,217,753,153,1597,10334,1015,8,16,1,18,46,4,426,4405,293
rumble.com,10063,17758,1274,13,16,12,2394,748,115,5753,9129,816,16,23,5,18,72,2,2039,3793,289
thedcpatriot.com,668,25121,1934,0,11,4,147,467,115,486,14401,1130,2,44,3,0,46,5,123,5801,358
americanthinker.com,2377,6215,601,1,3,3,195,148,32,1928,4449,458,4,2,0,15,19,0,567,1675,140
electionwiz.com,253,8181,479,0,4,1,43,196,40,177,4505,321,9,226,4,5,50,11,56,1902,97
townhall.com,2756,5982,470,16,7,2,258,69,22,2091,3269,329,2,11,1,10,9,1,460,1142,86
parler.com,3200,1962,177,15,1,0,324,22,9,1903,1151,135,11,4,0,14,6,2,742,492,46
bitchute.com,2802,3102,277,9,3,0,331,105,25,1899,1950,278,2,4,1,6,7,2,594,788,110
gellerreport.com,756,3697,327,2,4,0,65,73,15,565,1450,137,18,755,57,0,3,0,121,491,46
bing.com,901,348,22,8,1,1,24,3,2,781,694,31,2,1,1,0,0,1,554,516,4
themarshallreport.wordpress.com,247,917,77,0,0,1,22,3,6,200,524,56,4,196,7,2,23,1,52,227,25
lifesitenews.com,792,1341,109,0,0,2,126,64,11,467,690,91,0,0,0,10,228,9,69,186,29
thedailycoin.org,390,93,2,0,0,1,348,13,0,31,72,7,0,0,0,0,0,0,21,37,1
mashupreporter.com,22,215,27,1,0,0,1,1,0,0,3,0,9,181,17,0,0,0,0,3,0
beforeitsnews.com,537,135,23,1,0,0,55,7,3,380,106,27,13,4,5,14,8,0,92,49,16
moeruasia.net,30,532,37,0,0,0,0,0,0,4,11,1,20,428,22,0,0,0,0,10,1
everylegalvote.com,682,302,18,0,0,0,342,3,3,122,180,20,3,2,1,0,1,1,35,71,6
agenticglobal.com,48,41,3,0,0,0,0,0,0,7,0,0,22,25,0,0,0,0,2,4,0
hotnews8.net,75,45,4,0,0,0,0,0,0,0,2,0,75,33,2,0,0,0,0,2,0
totalnewsjp.com,31,63,2,0,0,0,1,0,0,0,2,0,30,53,2,0,0,0,0,1,0
epochtimes.jp,21,1,1,0,0,0,0,0,1,0,0,0,20,1,0,0,0,0,0,0,0
truenewshub.com,104,3,0,0,0,0,0,0,0,4,2,0,0,0,0,98,1,0,101,1,0
